	SRR12626034	SRR12626035	SRR12626036	SRR12626040	SRR12626041	SRR12626042
SCG3	423	348	340	815	399	394
SCGB2A1	74	78	75	117	91	125
SCIN	461	529	443	1350	892	1403
SCLT1	428	317	242	312	187	251
SCMH1	247	233	191	276	91	180
SCML1	1989	1984	1941	1359	689	1409
SCML2	531	530	610	528	293	539
SCN11A	224	143	151	69	29	50
SCN1A	50	87	46	139	186	100
SCN2A	1064	944	633	1441	729	718
SCN3A	2101	1452	1251	2460	1389	2188
SCN3B	157	165	153	336	237	137
SCN4B	73	62	66	51	44	53
SCN8A	272	291	276	290	149	189
SCN9A	46	11	28	125	35	17
SCNM1	72	76	51	79	55	57
SCO1	112	104	75	177	104	105
SCOC	13667	12632	12289	20040	10088	14284
SCOC-AS1	88	130	117	100	62	88
SCP2	10743	10510	9964	16544	8975	12893
SCPEP1	1013	1152	950	1138	663	889
SCRG1	46	62	61	101	79	62
SCRN1	1882	1670	1773	2911	1762	2020
SCRN3	1186	1027	1158	1307	794	1072
SCUBE3	1020	887	845	1249	834	812
SCYL1	52	30	28	53	27	41
SCYL2	2222	1785	1717	3044	1355	1992
SCYL3	469	387	395	580	338	429
SDAD1	1855	1779	1729	3542	1711	2381
SDC2	2498	2470	2389	3556	1856	2778
SDC3	43	73	30	95	60	52
SDC4	61	134	73	146	75	93
SDCBP	14097	14273	13874	19483	11192	14599
SDCBP2-AS1	175	136	76	123	100	121
SDCCAG3	75	59	42	73	74	58
SDCCAG8	9	11	17	127	16	5
SDE2	1300	1154	988	1678	906	1353
SDF2	1571	1592	1329	2124	1193	1529
SDF4	40	47	20	55	42	35
SDHA	749	681	472	732	502	598
SDHAF2	975	752	742	1378	940	938
SDHAF3	3442	2877	2853	3137	1810	2661
SDHAF4	367	405	294	466	271	364
SDHAP1	62	66	56	38	31	35
SDHAP3	38	51	37	57	27	47
SDHB	1096	1063	811	1128	687	943
SDHC	672	807	651	658	646	965
SDHD	5695	5245	5221	6115	3427	4526
SDK1	63	66	29	85	34	56
SDK2	369	345	223	379	227	291
SEC11A	2731	2802	2676	4028	2442	2980
SEC11C	222	270	218	369	291	283
SEC13	1101	1122	617	1363	820	1145
SEC14L1	333	335	264	441	229	272
SEC14L1P1	48	37	41	27	32	35
SEC14L2	268	274	199	441	305	347
SEC16A	531	449	353	640	368	536
SEC22A	1269	1459	1249	1662	1029	1348
SEC22B	1775	1601	1330	2308	1308	1656
SEC22C	924	897	704	1011	635	847
SEC23A	4952	4338	3916	6689	3518	4765
SEC23B	6129	5555	4286	8693	4762	5989
SEC23IP	4836	4817	4510	6859	3684	4855
SEC24A	2051	2072	1741	2992	1356	2149
SEC24B	1314	1194	1250	1415	742	1028
SEC24B-AS1	26	51	39	49	20	32
SEC24C	499	591	448	706	496	611
SEC24D	1215	1377	1052	1732	824	1424
SEC31A	13731	15100	13421	20241	11663	14649
SEC31B	289	299	224	198	136	217
SEC61A1	256	343	268	412	277	375
SEC61A2	642	602	546	789	466	577
SEC61B	381	348	255	580	303	416
SEC61G	3316	3981	3400	5999	3628	4600
SEC62	10551	9421	8843	12255	5871	9114
SEC63	3176	3041	2774	3508	1734	2697
SECISBP2	361	329	263	450	244	340
SECISBP2L	809	895	751	1135	480	721
SEH1L	922	831	681	2038	884	1112
SEL1L	2700	2495	2134	3701	1844	2403
SEL1L3	677	755	708	2123	1109	1239
SELENBP1	122	74	74	80	37	65
SELK	5827	6168	5456	7338	4148	5531
SELT	9702	8565	8712	12233	7004	9313
SEMA3A	190	152	193	772	217	339
SEMA3C	256	503	162	5847	1911	1895
SEMA3D	150	112	100	219	92	121
SEMA3E	239	235	213	381	207	221
SEMA4B	59	63	52	80	62	79
SEMA4D	178	163	119	213	124	127
SEMA4F	60	58	64	109	88	74
SEMA4G	145	169	146	112	59	66
SEMA5A	1056	1042	759	1091	723	1006
SEMA5B	30	38	55	53	39	31
SEMA6A	425	412	393	550	319	393
SEMA6D	721	638	549	503	301	406
SENP1	658	643	664	1071	581	797
SENP2	1071	1041	888	1306	697	969
SENP5	2338	2006	1746	3004	1823	2158
SENP6	2783	2387	2353	3827	1448	2399
SENP7	2803	2452	2120	3637	1304	2225
SENP8	402	286	325	491	252	381
SEP15	8981	9102	8484	11802	6895	9311
SEPHS1	597	489	416	802	407	553
SEPHS2	170	145	130	165	94	87
SEPN1	267	289	182	332	185	313
SEPP1	1694	1529	1461	1072	605	838
SEPSECS	632	546	507	818	422	724
SEPSECS-AS1	63	54	33	39	15	21
SEPT10	1459	1210	1114	1376	700	1139
SEPT11	3108	2841	2781	4269	2123	2952
SEPT2	28964	26394	22768	48160	27431	33491
SEPT3	644	716	669	732	522	578
SEPT6	214	234	192	264	155	181
SEPT7	14849	12964	12445	24342	11793	17347
SEPT7-AS1	97	137	114	98	46	86
SEPT7P2	139	173	124	183	91	158
SEPT8	184	196	166	280	130	225
SEPT9	37	62	49	95	69	70
SEPW1	7788	8173	6694	7584	5057	6451
SERAC1	590	534	411	955	561	645
SERBP1	2303	2177	1980	3425	1767	2554
SERF2	18970	18454	15207	16117	10165	12224
SERGEF	153	220	141	214	123	218
SERINC1	33628	33803	32093	40273	20810	29586
SERINC3	2188	2367	2168	3311	1955	2305
SERINC5	14294	13976	13142	12460	6579	9988
SERP1	549	593	530	637	354	514
SERPINA3	450	656	519	4257	1988	2034
SERPINB1	33	58	31	46	23	40
SERPINB6	887	970	728	1480	860	1060
SERPINB8	373	257	283	1184	614	740
SERPINB9	27	27	12	78	23	46
SERPIND1	94	44	43	8	9	26
SERPINE1	1167	2147	1204	30163	12747	10810
SERPINE2	294	378	314	480	262	372
SERPINF1	2639	2684	2157	1396	908	1561
SERPING1	989	1051	720	788	454	642
SERPINH1	163	234	118	297	171	221
SERPINI1	436	391	463	398	239	353
SERPINI2	963	617	427	541	168	467
SERTAD2	518	630	574	1043	526	681
SERTAD3	86	88	44	123	61	82
SERTAD4	7	5	1	63	42	25
SERTM1	179	126	116	50	34	86
SESN1	790	631	575	908	513	743
SESN2	111	89	74	146	85	97
SESN3	20282	18139	16856	19154	9353	13983
SESTD1	799	745	699	1440	575	780
SET	12232	10816	10233	23033	12425	14043
SETBP1	929	885	839	1528	795	949
SETD1B	119	104	124	120	101	105
SETD2	2674	2499	2219	3373	1675	2524
SETD3	929	748	764	1051	727	830
SETD4	375	372	334	507	279	354
SETD5	2015	2359	1981	2453	1318	2026
SETD6	125	95	133	113	64	103
SETD7	1139	1277	1041	1483	885	1255
SETD8	39	30	16	51	36	44
SETD9	81	83	48	143	112	102
SETDB1	485	444	433	466	353	407
SETDB2	650	582	660	577	288	448
SETMAR	101	82	101	100	55	83
SETX	3220	2683	2173	4476	1749	3132
SEZ6L	394	476	521	545	540	521
SEZ6L2	114	121	78	102	63	94
SF1	391	382	298	484	297	347
SF3A1	469	462	312	511	385	352
SF3A3	3829	3983	3877	6605	3890	4571
SF3B1	33598	35143	32967	41841	21589	33474
SF3B2	2189	2441	1994	3125	2080	2523
SF3B3	5822	6859	6071	10083	6402	8882
SF3B4	84	69	66	155	95	94
SF3B5	1925	2075	1897	2510	1550	1907
SF3B6	4026	3796	3549	6206	3626	4563
SFI1	44	57	45	47	20	65
SFMBT1	100	95	133	176	167	146
SFMBT2	467	580	446	427	216	328
SFPQ	1056	718	653	1495	837	997
SFR1	1221	1172	1207	2362	1228	1822
SFRP1	1707	1892	1614	2391	891	1634
SFRP4	45	67	57	192	96	157
SFRP5	89	79	25	41	18	35
SFSWAP	158	105	102	137	75	98
SFT2D1	610	622	418	778	433	580
SFT2D2	50	62	56	61	54	70
SFT2D3	82	76	96	92	59	68
SFTA1P	7	5	8	63	36	42
SFXN1	1012	1115	984	1438	859	1130
SFXN2	107	93	69	134	82	134
SFXN3	517	588	373	833	583	696
SFXN4	379	376	285	511	324	390
SFXN5	16	20	17	32	40	37
SGCB	4869	4775	4274	7953	3675	4939
SGCD	181	103	143	122	93	73
SGCE	462	422	298	529	295	443
SGIP1	574	414	398	708	303	382
SGK1	3798	3509	3485	7409	4322	6384
SGK223	20	20	12	62	29	19
SGK494	109	108	57	241	79	138
SGMS1	685	420	461	380	207	367
SGMS2	2060	1340	1345	1951	934	1597
SGOL1	55	22	18	39	22	34
SGOL2	545	298	196	550	279	435
SGPL1	2544	2447	2172	5893	3371	4010
SGPP1	267	201	217	354	169	277
SGTA	31	24	25	38	34	27
SGTB	324	273	219	625	227	363
SH2B3	95	88	55	109	73	88
SH2D4A	98	124	105	88	44	49
SH3BGR	397	434	352	359	183	305
SH3BGRL	7443	7005	6248	9560	4484	6374
SH3BGRL2	4603	3982	3558	6140	3121	4642
SH3BGRL3	756	1142	647	2220	1518	1652
SH3BP2	175	122	141	253	143	176
SH3BP4	204	204	199	345	244	302
SH3BP5-AS1	350	262	347	270	102	190
SH3D19	1667	1350	1407	2282	1074	1894
SH3GL3	77	87	78	100	22	40
SH3GLB1	2056	1799	1557	2785	1258	1874
SH3KBP1	451	307	274	352	220	300
SH3PXD2B	128	102	102	338	151	155
SH3RF1	291	224	251	451	285	313
SH3RF2	24	23	13	68	29	32
SH3YL1	1523	1347	1290	1575	728	1110
SHANK2	1219	1219	1117	1259	582	937
SHB	54	74	59	117	59	90
SHC1	77	101	66	209	111	138
SHC3	718	667	731	566	479	474
SHC4	99	108	83	245	106	128
SHCBP1	28	22	9	73	12	15
SHFM1	3422	3502	2968	4716	2764	3233
SHISA2	559	431	486	1433	769	731
SHISA5	227	232	125	428	282	253
SHISA6	31	35	8	70	49	23
SHISA9	973	714	787	1417	964	1090
SHMT1	147	87	76	89	59	53
SHMT2	233	227	132	350	222	232
SHOC2	7364	6454	5930	10750	5079	7178
SHPK	42	52	26	53	36	50
SHPRH	1620	1355	1162	1599	722	1314
SHQ1	700	673	730	958	452	751
SHROOM2	206	191	190	239	138	169
SHROOM3	2268	1825	1635	2855	1809	2385
SHROOM4	38	34	30	124	46	69
SHTN1	6739	6164	5359	9792	4929	6889
SIAE	1565	1713	1435	1440	864	1251
SIAH1	263	212	229	302	160	206
SIAH2	219	280	234	245	188	223
SIAH3	103	66	81	73	41	55
SIDT2	95	99	84	173	76	98
SIGMAR1	138	138	97	214	127	135
SIK2	183	193	208	384	213	273
SIK3	222	223	174	237	165	152
SIKE1	1844	1833	1651	2280	1251	1731
SIL1	91	79	69	147	67	65
SIM2	42	33	20	50	45	43
SIMC1	189	149	207	339	153	207
SIN3A	1337	1327	1223	1484	994	1419
SIPA1L1	1570	1451	1051	1583	914	1370
SIPA1L2	302	348	238	751	439	416
SIPA1L3	79	57	61	85	42	60
SIRT1	1055	1027	968	1281	670	1010
SIRT2	142	140	107	136	76	117
SIRT3	139	132	82	120	60	120
SIRT4	62	74	48	67	45	65
SIRT5	424	435	387	355	202	319
SIX1	8	14	8	64	13	40
SIX3	317	370	286	435	204	387
SIX3-AS1	467	414	398	304	209	265
SIX4	407	552	585	972	431	587
SKA2	1993	1522	1454	1971	1264	1450
SKA3	96	47	71	83	91	94
SKAP2	283	383	339	845	406	375
SKIDA1	152	131	142	94	69	69
SKIL	4581	3591	3201	15154	5217	7470
SKIV2L2	4402	3964	3889	7037	3544	5511
SKP1	30329	30704	28589	45903	26767	33066
SKP1P2	430	492	457	787	385	566
SKP2	1132	949	950	1049	661	893
SLA	33	101	80	13	10	23
SLAIN1	129	131	100	168	88	109
SLAIN2	1051	930	819	1786	850	1138
SLBP	267	278	245	363	204	206
SLC10A7	535	465	389	582	248	293
SLC11A2	2279	2752	2345	3811	2060	2883
SLC12A1	49	30	27	55	51	47
SLC12A2	6020	4704	4573	8062	4058	5788
SLC12A4	62	57	40	44	40	58
SLC12A6	166	224	162	206	129	162
SLC12A8	200	150	219	182	89	171
SLC13A3	84	83	118	66	37	42
SLC13A4	3490	3406	2844	1877	1164	1985
SLC15A1	12	17	11	82	51	17
SLC15A2	1402	877	961	686	426	438
SLC15A4	1720	1801	1606	1781	847	1265
SLC16A1	2484	2975	2566	3429	1936	2726
SLC16A10	1868	1413	1602	1624	896	1563
SLC16A12	698	385	346	554	245	438
SLC16A14	627	563	590	775	437	560
SLC16A2	572	569	513	933	605	694
SLC16A4	216	158	175	207	125	148
SLC16A6	1463	2564	1856	1551	1362	2598
SLC16A7	312	269	301	365	134	210
SLC16A9	3313	3232	2804	4468	2001	3704
SLC17A5	336	323	342	466	313	388
SLC17A6	19	24	27	41	50	27
SLC17A8	23766	14769	13702	6944	4104	6630
SLC18A2	4159	3106	3267	7385	2939	4623
SLC18B1	698	599	577	495	296	449
SLC19A2	1018	959	836	1661	696	1159
SLC1A1	343	319	383	472	325	393
SLC1A2	586	638	494	1285	655	755
SLC1A3	11826	8979	8525	17182	12166	13737
SLC1A4	263	226	243	318	212	306
SLC1A5	51	68	42	103	53	53
SLC20A1	2176	2556	2214	3475	2148	2904
SLC20A2	841	902	608	396	269	481
SLC22A15	68	59	61	56	24	38
SLC22A17	153	160	101	127	54	105
SLC22A23	49	39	38	97	65	42
SLC22A4	44	25	34	66	36	31
SLC22A5	377	353	317	325	210	200
SLC22A8	280	311	219	53	14	78
SLC23A1	45	47	21	39	21	24
SLC23A2	4088	4761	3725	2406	1196	2251
SLC24A1	217	158	162	135	93	150
SLC24A2	278	144	180	131	81	101
SLC24A4	470	474	383	200	121	200
SLC24A5	500	400	349	616	184	565
SLC25A11	105	122	79	115	83	89
SLC25A12	1684	1575	1534	1173	772	916
SLC25A13	1441	1264	1080	1618	953	1200
SLC25A14	491	548	476	718	512	582
SLC25A15	79	95	67	119	80	75
SLC25A16	114	90	100	130	68	142
SLC25A17	2518	2368	2215	4090	2428	3035
SLC25A19	30	28	26	39	34	35
SLC25A20	363	240	316	422	247	305
SLC25A21	104	58	61	88	49	110
SLC25A21-AS1	68	47	41	59	40	38
SLC25A23	148	165	110	204	120	115
SLC25A24	189	173	197	297	150	195
SLC25A25-AS1	101	104	88	116	72	95
SLC25A26	467	516	391	813	458	600
SLC25A27	1182	1150	1177	772	327	638
SLC25A28	113	125	107	136	92	84
SLC25A29	62	48	41	42	29	57
SLC25A3	1094	1095	932	1286	812	902
SLC25A30	396	549	409	621	322	673
SLC25A32	262	280	253	695	330	321
SLC25A33	40	56	47	47	56	57
SLC25A36	3427	3558	3146	4331	1701	3007
SLC25A37	170	191	155	139	107	126
SLC25A38	383	435	404	375	196	276
SLC25A39	100	110	54	116	77	111
SLC25A4	887	897	833	936	634	843
SLC25A40	921	921	924	801	378	756
SLC25A43	43	61	32	66	39	49
SLC25A44	321	345	207	409	273	336
SLC25A46	1970	1570	1325	1825	604	1533
SLC25A5	9879	9639	8694	14801	8414	9427
SLC25A5-AS1	39	48	47	20	23	28
SLC25A51	173	164	162	249	184	146
SLC25A53	166	116	101	195	119	70
SLC26A2	559	541	490	1062	503	582
SLC26A3	51	55	69	13	11	22
SLC26A5	23	32	41	19	6	13
SLC26A6	70	41	38	97	35	52
SLC26A7	2418	2324	1927	6423	2358	5144
SLC27A2	169	159	149	163	133	149
SLC27A5	221	188	141	236	152	169
SLC28A3	1722	1853	1537	2165	948	1842
SLC29A1	86	126	106	107	59	91
SLC29A3	105	113	75	73	46	41
SLC2A1	1856	3422	2016	3759	1961	2815
SLC2A1-AS1	262	354	306	230	124	212
SLC2A10	109	95	67	116	37	67
SLC2A12	3566	2544	2388	2142	1122	1807
SLC2A13	892	689	737	855	426	567
SLC2A14	38	65	58	214	85	79
SLC2A3	5163	9267	6569	15398	8140	10765
SLC2A4	99	137	97	119	55	60
SLC2A4RG	34	52	27	65	34	29
SLC2A5	44	42	21	59	40	66
SLC30A1	120	71	82	183	99	100
SLC30A10	700	1163	950	1176	646	1085
SLC30A4	39	32	34	94	33	47
SLC30A5	954	843	831	1048	512	820
SLC30A6	1666	1599	1622	2514	1359	1615
SLC30A7	15187	13162	13024	20250	8906	14158
SLC30A9	1642	1665	1304	2337	1247	1583
SLC31A1	8395	8079	7419	6957	4668	6900
SLC31A2	135	85	106	122	70	97
SLC33A1	479	433	288	505	239	410
SLC34A2	16	3	2	59	12	12
SLC35A1	2422	2367	2435	2796	1465	2212
SLC35A2	45	57	47	65	45	28
SLC35A3	2051	1752	1745	1843	837	1445
SLC35A4	420	458	247	546	345	445
SLC35A5	3733	3416	3564	4460	2465	3491
SLC35B1	340	435	285	587	417	470
SLC35B2	58	73	51	120	92	91
SLC35B3	514	414	439	518	275	404
SLC35B4	1337	1195	882	1504	882	1177
SLC35C1	37	32	31	61	33	61
SLC35C2	78	97	65	101	67	64
SLC35D1	832	763	819	1371	899	926
SLC35D2	85	82	77	143	76	90
SLC35E1	1265	1407	1156	2286	1292	1739
SLC35E2	266	230	217	264	152	171
SLC35E2B	430	410	319	480	262	330
SLC35E3	160	148	149	235	90	131
SLC35F1	3110	2649	2307	4890	2724	2959
SLC35F2	136	99	91	408	172	173
SLC35F5	3571	3068	2883	2698	1406	2463
SLC35F6	693	661	572	1312	1081	1148
SLC35G1	29	24	32	107	63	40
SLC35G2	647	737	621	866	443	689
SLC36A1	60	74	57	128	64	66
SLC36A4	1304	1066	924	1482	579	1178
SLC37A3	739	697	665	966	635	786
SLC37A4	201	236	169	289	193	267
SLC38A1	821	793	605	1460	994	922
SLC38A2	1485	1412	1386	2624	1532	1415
SLC38A6	2386	2276	1936	3408	1743	2335
SLC38A7	96	90	69	186	155	127
SLC38A9	784	684	648	1058	545	671
SLC39A1	141	142	149	237	138	150
SLC39A10	9225	9409	9157	17084	8286	11900
SLC39A11	722	523	458	535	291	367
SLC39A12	2772	1406	1534	809	495	713
SLC39A13	34	48	19	44	22	40
SLC39A14	1121	1058	1024	1713	1018	1152
SLC39A6	2129	2126	1967	2864	1562	1879
SLC39A8	97	102	103	125	59	83
SLC39A9	7253	6563	5951	8350	4732	6245
SLC3A1	195	191	215	254	90	216
SLC3A2	358	416	241	430	271	339
SLC40A1	8838	6784	7252	4682	2582	4691
SLC41A1	933	954	847	545	431	668
SLC41A2	922	660	703	941	443	645
SLC41A3	284	290	271	283	182	201
SLC43A3	31	42	38	175	74	129
SLC44A1	3310	3366	3224	2984	1627	2577
SLC44A2	171	226	125	242	171	194
SLC44A3	143	109	101	166	133	99
SLC44A5	344	380	266	833	363	512
SLC46A1	51	43	30	64	33	36
SLC46A3	243	192	199	126	60	118
SLC48A1	311	347	315	459	301	325
SLC4A10	17116	10974	11759	7466	3511	8907
SLC4A1AP	444	453	259	621	351	495
SLC4A2	163	126	102	133	93	98
SLC4A4	207	263	238	197	62	129
SLC4A5	9779	7700	7833	4527	2439	4604
SLC4A7	3600	4219	3844	11565	4178	7019
SLC4A8	551	474	452	536	294	503
SLC50A1	732	823	794	1134	774	958
SLC5A12	5	11	2	140	44	45
SLC5A3	23489	17891	18207	13481	6813	12654
SLC5A6	1607	1294	926	901	576	912
SLC6A1	43	73	31	52	23	18
SLC6A15	4683	4306	4243	5607	3172	4736
SLC6A16	62	51	34	103	40	59
SLC6A20	2360	2053	1928	3175	2213	3243
SLC6A6	179	201	123	167	113	145
SLC6A8	68	108	76	100	66	87
SLC7A1	886	826	735	1500	894	1219
SLC7A11	6909	5005	4834	6993	3285	5851
SLC7A11-AS1	56	70	22	24	5	27
SLC7A14	8	13	15	86	13	9
SLC7A5	53	53	38	65	28	42
SLC7A6	3354	3005	2809	4203	2484	3893
SLC7A7	164	127	152	245	156	170
SLC7A8	1840	1887	1460	1378	1033	1345
SLC8A1	4087	3954	3467	4882	3648	4867
SLC8A1-AS1	187	106	152	191	66	163
SLC9A3R1	226	206	185	299	179	264
SLC9A6	631	708	713	951	515	612
SLC9A7	691	740	651	1631	795	844
SLC9A8	42	64	42	49	35	54
SLC9A9	199	140	100	183	67	128
SLC9B2	508	551	390	631	315	605
SLC9C1	12	14	20	63	11	9
SLCO3A1	703	548	511	525	336	504
SLCO5A1	17	22	16	48	19	51
SLF1	1024	811	781	1149	478	900
SLF2	1438	1437	1294	2034	892	1426
SLFN11	22	19	35	105	40	40
SLFN12	31	36	27	69	25	16
SLFN13	91	97	84	96	36	61
SLFN5	692	931	577	1113	475	773
SLIRP	3123	3311	2808	5504	3630	3971
SLIT2	1960	1724	1454	2345	1328	1690
SLIT3	322	298	315	299	158	203
SLITRK1	48	29	29	65	44	42
SLITRK5	114	139	148	140	38	75
SLITRK6	723	427	468	579	236	427
SLK	6961	5621	5263	7567	2893	5911
SLMAP	1768	1553	1487	2774	1337	1992
SLMO2	1969	1610	1698	3439	1462	2071
SLTM	1933	1469	1249	2578	1173	1730
SLU7	3065	3369	2945	4369	2295	3351
SLX4IP	109	96	69	138	75	98
SMA4	47	25	12	29	6	11
SMAD1	491	487	444	764	466	526
SMAD1-AS2	31	42	43	86	28	52
SMAD2	4464	4061	3565	5785	3314	4338
SMAD3	1666	1755	1599	1742	1016	1394
SMAD4	1532	1519	1361	1981	1155	1771
SMAD5	7749	7583	6908	8852	4810	7765
SMAD7	31	38	38	94	70	60
SMAD9	3266	2727	2397	2591	1420	2369
SMAGP	32	24	18	38	34	39
SMAP1	3193	3143	2767	4554	2539	3505
SMAP2	416	420	357	379	287	369
SMARCA1	3183	3535	3144	3093	1603	2673
SMARCA2	3442	3225	3165	2502	1394	2332
SMARCA4	332	329	284	449	306	447
SMARCA5	3174	2659	2603	3860	1882	2782
SMARCAD1	2792	2572	2355	4671	2138	3139
SMARCAL1	490	483	386	547	360	487
SMARCC1	933	866	665	1434	810	1092
SMARCC2	836	957	663	1171	777	845
SMARCD1	340	294	296	601	354	411
SMARCD2	36	39	34	60	46	25
SMARCD3	164	125	103	162	107	129
SMARCE1	8601	7832	7271	13031	7479	9465
SMC1A	1778	1915	1728	2506	1559	1966
SMC1B	44	48	19	47	19	37
SMC2	1078	1013	782	1618	656	1066
SMC3	3141	2636	2116	4123	1538	3085
SMC4	828	723	470	1051	359	800
SMC5	2661	2485	2329	6421	2329	4194
SMC5-AS1	48	48	34	78	42	53
SMC6	3481	2780	2334	2450	840	2283
SMCHD1	1306	1379	1305	1774	770	1332
SMCO3	21	22	17	54	15	51
SMCR8	83	78	67	78	64	83
SMG1	2022	1855	1532	2410	1213	1820
SMG1P1	29	8	36	29	19	53
SMG1P2	40	59	44	11	18	14
SMG5	74	55	47	92	49	84
SMG6	64	56	44	82	49	59
SMG7	1305	1424	1197	1633	1017	1390
SMG8	140	157	100	230	136	184
SMIM10L1	34	50	30	46	19	32
SMIM11	25	27	19	23	51	233
SMIM12	257	243	211	379	224	258
SMIM13	112	88	114	177	89	93
SMIM14	1570	1741	1414	2967	1703	1757
SMIM15	405	458	383	591	360	458
SMIM17	62	59	82	127	56	91
SMIM18	94	79	56	168	48	136
SMIM19	565	523	454	613	381	422
SMIM20	306	221	232	313	191	250
SMIM3	145	155	132	266	157	236
SMIM4	88	82	96	105	86	74
SMIM7	1319	1315	1216	1721	1176	1349
SMIM8	1694	1588	1474	1971	1082	1585
SMNDC1	1124	1184	1166	1447	780	1114
SMO	89	90	74	127	54	69
SMPD1	71	77	45	75	49	75
SMPD3	35	27	39	38	15	27
SMPD4	60	61	32	84	42	60
SMPDL3A	207	279	240	176	85	171
SMPDL3B	78	55	43	60	37	101
SMS	883	1222	845	2139	1255	1519
SMU1	3477	3186	3251	4433	2607	3484
SMUG1	176	146	135	268	156	157
SMURF1	132	157	104	215	131	137
SMURF2	499	469	446	1013	549	629
SMYD2	137	124	113	205	111	122
SMYD3	934	1262	1008	1840	1086	1483
SMYD4	85	117	81	107	60	95
SMYD5	156	179	92	194	136	190
SNAI2	49	35	15	88	45	27
SNAP23	2946	3012	2897	4904	2846	4027
SNAP25	477	468	361	782	403	437
SNAP29	203	143	185	244	152	246
SNAP47	74	56	43	81	41	62
SNAP91	550	479	322	549	356	484
SNAPC1	1002	1131	797	1331	745	1355
SNAPC3	557	587	522	729	338	544
SNAPC5	333	297	310	377	229	258
SNAPIN	139	127	105	176	95	136
SNCA	1204	989	941	1410	849	1163
SNCAIP	424	259	220	176	77	174
SND1	919	864	639	1065	673	880
SND1-IT1	290	278	284	312	193	256
SNED1	257	260	222	121	59	90
SNF8	90	82	67	135	66	103
SNHG1	537	672	562	698	510	570
SNHG10	131	107	92	101	67	86
SNHG12	34	28	33	60	38	24
SNHG15	136	163	142	208	120	150
SNHG16	4631	5235	5065	5635	3746	4745
SNHG17	177	216	159	293	178	211
SNHG18	43	61	34	44	26	39
SNHG20	65	51	40	61	51	52
SNHG21	459	430	397	359	264	351
SNHG3	443	503	412	984	571	742
SNHG5	1832	2092	1872	1975	1215	1757
SNHG6	809	933	738	826	520	708
SNHG8	207	278	197	329	183	221
SNHG9	109	69	71	138	92	76
SNIP1	180	151	101	250	139	163
SNN	74	91	71	115	72	74
SNORA12	56	52	40	83	45	60
SNORA18	72	88	63	99	36	77
SNORA25	45	60	41	55	30	44
SNORA32	74	73	74	72	54	48
SNORA35	197	161	105	147	67	90
SNORA4	71	66	51	84	59	59
SNORA63	69	65	58	80	52	51
SNORA70	71	95	113	130	91	107
SNORA7B	68	65	76	63	42	49
SNORA8	91	115	81	100	75	88
SNORD102	31	43	41	34	13	30
SNORD116-21	29	37	26	36	34	40
SNORD116-26	100	86	75	137	87	101
SNORD116-27	40	33	25	50	30	44
SNORD22	40	37	52	54	47	36
SNORD31	20	28	30	59	19	22
SNORD44	42	53	43	92	61	72
SNORD47	76	80	84	145	96	124
SNORD5	44	50	41	39	29	45
SNORD76	60	57	66	78	57	63
SNORD79	62	51	39	106	43	67
SNORD80	58	83	75	181	100	130
SNORD81	37	36	53	67	44	51
SNRK	151	164	165	190	116	112
SNRNP200	2813	3128	2469	2636	1672	2532
SNRNP25	134	152	132	234	128	169
SNRNP27	1252	1282	978	1833	1006	1371
SNRNP35	253	232	180	263	178	235
SNRNP40	280	232	276	352	211	306
SNRNP48	318	336	375	464	228	336
SNRNP70	36	50	34	42	29	30
SNRPA	56	69	81	118	46	68
SNRPA1	668	734	657	849	522	786
SNRPB	188	171	163	309	205	267
SNRPB2	1766	1695	1628	2802	1708	1904
SNRPC	874	883	602	1262	895	1017
SNRPD1	2164	2021	1883	4387	2613	2865
SNRPD2	4318	4907	4060	6277	3890	4532
SNRPD3	3219	2869	2884	3954	2507	2938
SNRPE	2956	2765	2523	4150	2573	3179
SNRPF	920	986	746	1495	1011	987
SNRPG	2676	2463	2164	4128	2490	2924
SNRPN	113	98	92	172	102	146
SNTA1	63	65	28	53	27	36
SNTB1	1810	1734	1543	2585	1403	1773
SNTB2	749	764	619	854	490	809
SNTG1	1573	1264	1027	571	240	483
SNU13	4440	4856	4334	6390	4060	4871
SNUPN	833	856	831	852	561	859
SNW1	5761	5628	5458	7744	4763	6347
SNX1	379	391	342	446	327	429
SNX10	437	529	370	820	358	485
SNX11	378	338	362	552	371	455
SNX12	95	121	63	166	90	110
SNX13	3806	3635	2954	3949	1472	3159
SNX14	1771	1697	1432	2110	993	1558
SNX16	605	571	580	827	361	624
SNX17	207	151	140	222	166	175
SNX18	285	261	232	361	221	249
SNX19	1004	915	841	1563	907	1124
SNX2	10063	8661	7939	10103	5009	7799
SNX21	37	41	30	38	27	44
SNX24	1005	847	728	1409	794	971
SNX25	926	1050	930	1374	712	1059
SNX27	3821	4163	3566	5271	3621	4052
SNX29	200	224	154	189	110	139
SNX3	1531	1273	1125	1394	784	1061
SNX30	902	710	579	766	489	582
SNX4	541	486	442	676	334	380
SNX5	1364	1230	1053	1538	863	1154
SNX6	4728	4270	3979	7979	4159	5321
SNX7	372	244	283	273	164	269
SNX9	123	136	78	180	93	126
SOAT1	1073	990	874	1322	848	1045
SOBP	158	198	150	175	81	121
SOCS2	44	39	29	187	82	70
SOCS3	32	39	24	113	74	65
SOCS4	1705	1192	1271	2963	1142	1917
SOCS5	732	710	652	777	423	536
SOCS6	1070	952	895	2037	1209	1243
